rank,platform,asin,title,brand,seller,price_usd,price_bucket_2usd,rating,reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct,height_group,price_band_old,tags
1,Amazon US,B0D2HMV3S6,"FDW | 54' Cat Tree Tower | Dark Gray | Multi-Level Indoor Activity Center with Sisal Scratching Posts, Condos, Plush Perches, Hanging Cat Toys | Sturdy, Easy to Assemble | for Kittens & Adult Cats",FDW,Amazon,34.1,$34-$35.99,4.1,6897.0,7685.0,5.898244725349788,262058.5,3.8379053744851817,50-64in mainstream,$30-49,"multi-level,condo,kitten"
2,Amazon US,B07V4SGDDZ,"Yaheetech 63in Large Cat Tree for Heavy Cats up to 22lbs, Anti-Wobble Tower with Condo & Hammock, Space-Saving for Indoor Multi-Pet Households, Stops Furniture Scratching",Yaheetech,Yaheetech,49.97,$48-$49.99,4.7,7820.0,5961.0,4.575073104464553,297871.17,4.362389940594139,50-64in mainstream,$30-49,"large-cat,heavy-duty,multi-level,condo"
3,Amazon US,B0B7RQTSB7,"Heybly Cat Tree with Toy, Cat Tower condo for Indoor Cats, Cat House with Padded Plush Perch, Cozy Hammock and Sisal Scratching Posts, Smoky Gray HCT004SG",Heybly,Heybly,39.99,$38-$39.99,4.2,11388.0,5592.0,4.2918652575349405,223624.08,3.275024692945675,height not shown,$30-49,"condo,hammock"
4,Amazon US,B0DGKR5MMP,"Globlazer Heavy Duty Cat Tree, 70 inch Sturdy Cat Tree for Indoor Cats Extra Large Cat Tower with Scratching Post, Hammock, Cat Condo for Adult Cats Kittens, F70 Pro, Light Grey",Globlazer,Globlazer,99.99,$98-$99.99,4.7,1239.0,5064.0,3.8866247611153324,506349.36,7.415599685227275,65-74in large/multicat,$80-119,"large-cat,heavy-duty,condo,hammock"
5,Amazon US,B0G2XYGPWY,"Sweetcrispy 44 Inch Cat Tree Tower, Cat Climbing Tower with Natural Sisal Scratching Posts, Hammock, Pet Condo for Indoor Cats and Kittens Play, Beige",Sweetcrispy,Amazon,29.92,$28-$29.99,4.5,1249.0,4824.0,3.7024245354700556,144334.08,2.1138048998730214,36-49in mid-small,$0-29,"condo,hammock,kitten"
6,Amazon US,B0CNSWH1SQ,"Cat Tree Tower with Cat Scratching Post for Indoor Cats, Activity Centre Climbing Tree with Scratching Board and Playful Toy Balls, Grey",TWDEPART,TIN&WEI,25.99,$24-$25.99,4.4,3534.0,4077.0,3.1291013331491335,105961.23,1.551825924761305,height not shown,$0-29,
7,Amazon US,B0794T79KM,"Yaheetech 54in Cat Tree, Multi-Level Cat Tower with Spacious Kitten-ear Perch, 2 Cozy Caves, Scratching Posts, Climbing Ladder, 2 Plush Balls, Durable Pet House Furniture for Indoor Kittens, Dark Gray",Yaheetech,Yaheetech,35.68,$34-$35.99,4.5,39924.0,4036.0,3.0976337946013985,144004.48,2.108977834116977,50-64in mainstream,$30-49,"multi-level,kitten"
8,Amazon US,B0GMX4ZVK1,"Sweetcrispy 54 Inch Cats Tree Tower, Multi-Level with Scratching Post, Indoor Cat Tree Condo with Climbing Ladder, Plush Toy, Play House for Kittens, Pink",Sweetcrispy,Amazon,37.94,$36-$37.99,4.4,1094.0,3699.0,2.838985977757823,140340.06,2.055311583213568,50-64in mainstream,$30-49,"multi-level,condo,kitten"
9,Amazon US,B0BR561TK3,"Feandrea Cat Tree, 59.5-Inch Tall Cat Tower, Plush Multi-Level Condo with 5 Scratching Posts, 2 Perches, 2 Caves, Hammock, 2 Pompoms, Light Gray UPCT192W01",Feandrea,Amazon,47.69,$46-$47.99,4.4,12379.0,3673.0,2.8190309533129176,175165.37,2.565336041176628,height not shown,$30-49,"multi-level,condo,hammock"
10,Amazon US,B0CNX5VJS4,"37.4' Cactus Cat Tree Tower with Twin Cat Condos for Indoor Cats, All-in-One Activity Center with Cat Scratching Post Cozy Sleeping Perch Hammock and Toy Balls,Green",AIWIKIDE,HAPPINESS2,34.84,$34-$35.99,4.3,17228.0,3592.0,2.756863377157637,125145.28,1.8327806299106992,36-49in mid-small,$30-49,"condo,hammock,novelty-cactus"
