price_bucket_2usd,product_count,avg_price_usd,avg_rating,total_reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct
$18-$19.99,1,18.99,4.2,22255,1349,1.03,25617.51,0.37
$20-$21.99,1,21.99,4.5,197,1103,0.84,24254.97,0.35
$22-$23.99,2,22.99,4.35,4069,872,0.66,20047.28,0.29
$24-$25.99,4,25.54,4.53,58744,9869,7.52,253767.71,3.69
$26-$27.99,1,26.99,4.3,3198,3167,2.41,85477.33,1.24
$28-$29.99,2,29.95,4.5,5007,5862,4.47,175463.7,2.55
$30-$31.99,3,31.46,4.47,4343,1596,1.22,49988.84,0.73
$32-$33.99,1,33.99,4.5,2297,1109,0.85,37694.91,0.55
$34-$35.99,5,35.12,4.28,65125,16947,12.92,589535.92,8.57
$36-$37.99,5,37.69,4.46,5789,7311,5.57,276803.98,4.03
$38-$39.99,16,39.93,4.39,41019,21583,16.45,861469.77,12.53
$40-$41.99,3,40.94,4.33,10938,4277,3.26,175237.88,2.55
$42-$43.99,3,42.74,4.53,11763,2867,2.19,122873.33,1.79
$44-$45.99,3,45.09,4.43,17845,2536,1.93,114022.7,1.66
$46-$47.99,2,47.58,4.45,12730,3889,2.96,185421.05,2.7
$48-$49.99,5,49.99,4.44,19568,8981,6.84,448840.97,6.53
$52-$53.99,3,53.59,4.37,2214,1686,1.28,89930.74,1.31
$54-$55.99,1,55.99,4.6,10144,482,0.37,26987.18,0.39
$56-$57.99,2,56.99,4.5,2732,1151,0.88,65595.49,0.95
$58-$59.99,3,59.47,4.6,6925,3127,2.38,186051.7,2.71
$64-$65.99,1,65.99,4.5,1703,803,0.61,52989.97,0.77
$66-$67.99,1,67.71,4.5,19477,1089,0.83,73736.19,1.07
$68-$69.99,3,69.99,4.5,6359,2598,1.98,179181.02,2.61
$74-$75.99,1,75.99,4.6,1610,761,0.58,57828.39,0.84
$78-$79.99,2,79.99,4.6,728,1490,1.14,119185.1,1.73
$82-$83.99,1,83.99,4.5,761,1109,0.85,93144.91,1.35
$88-$89.99,3,89.98,4.5,7520,2828,2.16,254471.66,3.7
$98-$99.99,9,99.99,4.6,8726,13429,10.23,1342765.71,19.53
$102-$103.99,1,102.59,4.5,229,818,0.62,83918.62,1.22
$108-$109.99,3,109.99,4.6,2273,1963,1.5,215910.37,3.14
$112-$113.99,1,113.04,4.6,757,501,0.38,56633.04,0.82
$116-$117.99,1,116.99,4.7,98,552,0.42,64578.48,0.94
$118-$119.99,3,119.99,4.5,1379,1626,1.24,195103.74,2.84
$138-$139.99,1,139.99,4.1,80,809,0.62,113251.91,1.65
$144-$145.99,1,145.79,4.6,594,269,0.21,39217.51,0.57
$146-$147.99,1,147.15,4.5,787,466,0.36,68571.9,1.0
$148-$149.99,1,149.99,4.1,46,335,0.26,50246.65,0.73
