rank,platform,asin,title,brand,seller,price_usd,price_bucket_2usd,rating,reviews,monthly_sales,monthly_sales_share_pct,monthly_revenue_usd,monthly_revenue_share_pct,height_group,price_band_old,tags
1,Amazon US,B0D2HMV3S6,"FDW | 54' Cat Tree Tower | Dark Gray | Multi-Level Indoor Activity Center with Sisal Scratching Posts, Condos, Plush Perches, Hanging Cat Toys | Sturdy, Easy to Assemble | for Kittens & Adult Cats",FDW,Amazon,34.1,$34-$35.99,4.1,6897,7685,5.857,262058.5,3.8113,50-64in mainstream,$30-49,"multi-level,condo,kitten"
2,Amazon US,B07V4SGDDZ,"Yaheetech 63in Large Cat Tree for Heavy Cats up to 22lbs, Anti-Wobble Tower with Condo & Hammock, Space-Saving for Indoor Multi-Pet Households, Stops Furniture Scratching",Yaheetech,Yaheetech,49.97,$48-$49.99,4.7,7820,5961,4.5431,297871.17,4.3322,50-64in mainstream,$30-49,"large-cat,heavy-duty,multi-level,condo"
3,Amazon US,B0B7RQTSB7,"Heybly Cat Tree with Toy, Cat Tower condo for Indoor Cats, Cat House with Padded Plush Perch, Cozy Hammock and Sisal Scratching Posts, Smoky Gray HCT004SG",Heybly,Heybly,39.99,$38-$39.99,4.2,11388,5592,4.2619,223624.08,3.2523,height not shown,$30-49,"condo,hammock"
4,Amazon US,B0DGKR5MMP,"Globlazer Heavy Duty Cat Tree, 70 inch Sturdy Cat Tree for Indoor Cats Extra Large Cat Tower with Scratching Post, Hammock, Cat Condo for Adult Cats Kittens, F70 Pro, Light Grey",Globlazer,Globlazer,99.99,$98-$99.99,4.7,1239,5064,3.8595,506349.36,7.3642,65-74in large/multicat,$80-119,"large-cat,heavy-duty,condo,hammock"
5,Amazon US,B0G2XYGPWY,"Sweetcrispy 44 Inch Cat Tree Tower, Cat Climbing Tower with Natural Sisal Scratching Posts, Hammock, Pet Condo for Indoor Cats and Kittens Play, Beige",Sweetcrispy,Amazon,29.92,$28-$29.99,4.5,1249,4824,3.6765,144334.08,2.0992,36-49in mid-small,$0-29,"condo,hammock,kitten"
6,Amazon US,B0CNSWH1SQ,"Cat Tree Tower with Cat Scratching Post for Indoor Cats, Activity Centre Climbing Tree with Scratching Board and Playful Toy Balls, Grey",TWDEPART,TIN&WEI,25.99,$24-$25.99,4.4,3534,4077,3.1072,105961.23,1.5411,height not shown,$0-29,
7,Amazon US,B0794T79KM,"Yaheetech 54in Cat Tree, Multi-Level Cat Tower with Spacious Kitten-ear Perch, 2 Cozy Caves, Scratching Posts, Climbing Ladder, 2 Plush Balls, Durable Pet House Furniture for Indoor Kittens, Dark Gray",Yaheetech,Yaheetech,35.68,$34-$35.99,4.5,39924,4036,3.076,144004.48,2.0944,50-64in mainstream,$30-49,"multi-level,kitten"
8,Amazon US,B0GMX4ZVK1,"Sweetcrispy 54 Inch Cats Tree Tower, Multi-Level with Scratching Post, Indoor Cat Tree Condo with Climbing Ladder, Plush Toy, Play House for Kittens, Pink",Sweetcrispy,Amazon,37.94,$36-$37.99,4.4,1094,3699,2.8191,140340.06,2.0411,50-64in mainstream,$30-49,"multi-level,condo,kitten"
9,Amazon US,B0BR561TK3,"Feandrea Cat Tree, 59.5-Inch Tall Cat Tower, Plush Multi-Level Condo with 5 Scratching Posts, 2 Perches, 2 Caves, Hammock, 2 Pompoms, Light Gray UPCT192W01",Feandrea,Amazon,47.69,$46-$47.99,4.4,12379,3673,2.7993,175165.37,2.5476,height not shown,$30-49,"multi-level,condo,hammock"
10,Amazon US,B0CNX5VJS4,"37.4' Cactus Cat Tree Tower with Twin Cat Condos for Indoor Cats, All-in-One Activity Center with Cat Scratching Post Cozy Sleeping Perch Hammock and Toy Balls,Green",AIWIKIDE,HAPPINESS2,34.84,$34-$35.99,4.3,17228,3592,2.7376,125145.28,1.8201,36-49in mid-small,$30-49,"condo,hammock,novelty-cactus"
11,Amazon US,B084YZWS2C,"YUNIQUE Cat Tree with Cat Condo and Big Hammock, Grey",YUNIQUE,YUNWEI PET STORE,39.99,$38-$39.99,4.2,7575,3402,2.5928,136045.98,1.9786,height not shown,$30-49,"condo,hammock"
12,Amazon US,B0DT3ZYNVV,SHA CERLIN 81in Multi-Level Tall Cat Tree Tower for Indoor Kitties/Larger Cat Condo Furniture with Hammock/Cozy Pussycat Perches/Sisal Scratching Posts/Pet House/Wide Base/Grey,SHA CERLIN,Amazon,99.99,$98-$99.99,4.6,639,3372,2.5699,337166.28,4.9037,75in+ oversized,$80-119,"large-cat,multi-level,condo,hammock"
13,Amazon US,B0DRXZ3664,"YOUPET Cat Tree with Cat Scratching Post for Indoor Cats, Cat Tower with Scratching Board and Playful Toy Balls, Cat Tree Tower with Cozy Hammock,Grey",YOUPETSER,YOUPET,26.99,$26-$27.99,4.3,3198,3167,2.4137,85477.33,1.2432,height not shown,$0-29,hammock
14,Amazon US,B07GL45JHQ,"Amazon Basics Sturdy Cat Condo Tower with Hammock Bed and Scratching Posts, Interactive Hanging Ball Toy for Indoor Cats, 15.8' x 15.8' x 19.7', Gray",Amazon Basics,Amazon,25.19,$24-$25.99,4.7,54815,2937,2.2384,73983.03,1.076,<36in small/kitten,$0-29,"condo,hammock"
15,Amazon US,B09576SLY9,"3-Tier Cat Tree with 2 Hammocks & Condo, Grey | Multi-Level Indoor Cat Tower with Natural Sisal Scratching Posts, Rope Ladder, Replaceable Hanging Balls | Sturdy Cat Furniture for Kittens & Adult Cats",Smouatou,XIN DEPARTMENT,40.99,$40-$41.99,4.2,9420,2712,2.0669,111164.88,1.6168,height not shown,$30-49,"multi-level,condo,hammock,kitten"
16,Amazon US,B0FJRL5WT6,"Cat Tree, Cloud Cat Tower with Soft Bed, Cat Scratching Post & Pad with Larger Perch for Window Viewing, Small Cat Tree with Cute Toys, Bonus Catnip",Happi N Pets,Happi N Pets,25.99,$24-$25.99,4.4,312,2477,1.8878,64377.23,0.9363,height not shown,$0-29,large-cat
17,Amazon US,B08VGZVXJR,FISH&NAP Cute Cat Tree Kitten Cat Tower for Indoor Cat Condo Sisal Scratching Posts with Jump Platform Cat Furniture Activity Center Play House Beige,FISH&NAP,FISH&NAP,39.99,$38-$39.99,4.5,3860,2307,1.7583,92256.93,1.3418,height not shown,$30-49,"condo,kitten"
18,Amazon US,B0D8J6HW21,"28' Cat Tree, Large Bed for Big Cats, Small Cat Tower with Soft Perch for Window Viewing, Stable Cat Tree Tower, Cat Scratching Post with Hammock, Removable Cover-Gray",Happi N Pets,Happi N Pets,39.99,$38-$39.99,4.6,1280,2269,1.7293,90737.31,1.3197,<36in small/kitten,$30-49,"large-cat,hammock"
19,Amazon US,B08MPWZDHS,"Feandrea Cat Tree, 45.3-Inch Cat Tower, Plush Condo with Scratching Post, Ramp, Perch, Spacious Cave, for Small Space, Light Gray UPCT141W01",Feandrea,Amazon,39.09,$38-$39.99,4.4,3940,1816,1.384,70987.44,1.0324,height not shown,$30-49,condo
20,Amazon US,B0CY2VH9K2,"Cat Tree 32 Inches Small Cat Tree for Large Cats Adult Cat Tower with Scratching Post,15.7”Large Hammock and Self Groomer, and Removable Top Perch and Wide Condo for Indoor Cats-Beige",pawfessor,We Love Unity Commerce,42.99,$42-$43.99,4.5,833,1602,1.2209,68869.98,1.0016,<36in small/kitten,$30-49,"large-cat,condo,hammock"
21,Amazon US,B0DT5R86C4,"DUMOS 54-inch Indoor Cat Tree Tower –Multi-Level Pet House for Large Cats with 2 Condos, Scratching Posts, Round Platform, Small Ladder, and Toys – Perfect for Cats of All Ages, Dark Grey",DUMOS,Amazon,37.92,$36-$37.99,4.5,1853,1514,1.1539,57410.88,0.835,height not shown,$30-49,"large-cat,multi-level,condo"
22,Amazon US,B0DGQH8KTF,"Globlazer Cat Tree Tower for Indoor Cats, 50-inch Adult Cat Tree House for Large Adult Cats with Steps, Scratching Post, 2 Cat Caves, Dangling Toys, FC50, Light Grey",Globlazer,Globlazer,69.99,$68-$69.99,4.4,1212,1460,1.1127,102185.4,1.4862,height not shown,$50-79,large-cat
23,Amazon US,B0D2VVHS5F,"Heybly Cat Tree, 71-Inch-Tall Tower for Indoor Cats with 2 Perches, 2 Big Condos, 2 Hammocks, Basket, Scratching Pad, Large Cat Furniture and Condo, Smoky Gray HCT034G",Heybly,Heybly,99.99,$98-$99.99,4.6,2891,1441,1.0982,144085.59,2.0955,height not shown,$80-119,"large-cat,condo,hammock"
24,Amazon US,B0CM8MC8YZ,SHA CERLIN 65in Larger Cat Tree Tower Condo for Indoor Kitties/Multi-Level Furniture Activity Center with Wide Base/Cozy Plush Cat Perches/Baskets/Sisal Scratching Posts and Hammock/Beige,SHA CERLIN,Amazon,89.98,$88-$89.99,4.5,2511,1416,1.0792,127411.68,1.853,65-74in large/multicat,$80-119,"large-cat,multi-level,condo,hammock"
25,Amazon US,B0CCDHSGDH,"PAWZ Road Cat Tree, Cactus Floor to Ceiling Cat Tower with Adjustable Height(95-108 Inches), 5 Level Cat Climbing Tower with Cozy Hammock, Platforms and Dangling Balls for Indoor Cats",PAWZ Road,Sweet Pet,49.99,$48-$49.99,4.3,1639,1385,1.0556,69236.15,1.007,75in+ oversized,$30-49,"hammock,novelty-cactus"
26,Amazon US,B0BBGHDPX9,"BestPet | 54' Cat Tree Tower | Dark Gray | Sturdy, Easy to Assemble, Multi-Level Activity Center with Sisal Scratching Posts, Condos, Perches, Hanging Cat Toys, Observation Decks & Ladder",BestPet,Cavalier Store,18.99,$18-$19.99,4.2,22255,1349,1.0281,25617.51,0.3726,50-64in mainstream,$0-29,"multi-level,condo"
27,Amazon US,B0795T91YP,"Feandrea Cat Tree, 33.1-Inch Cat Tower, Plush Condo for Large Cats up to 16 lb, Large Perch, 2 Caves, Scratching Post, Light Gray UPCT61W",Feandrea,Amazon,44.99,$44-$45.99,4.6,15199,1212,0.9237,54527.88,0.793,height not shown,$30-49,"large-cat,condo"
28,Amazon US,B0CH9LC7SL,"Hey-brother Cat Tree with Large Hammock, Multi-Level Cat Tower for Indoor Cats, Cat Condo with Sisal-Covered Scratching Posts and Top Perch, Light Gray MPJ050W",Hey-brother,Hey brother,59.99,$58-$59.99,4.6,1060,1178,0.8978,70668.22,1.0278,height not shown,$50-79,"large-cat,multi-level,condo,hammock"
29,Amazon US,B0DNF1W593,"Cat Tree, Cat Tower for Indoor Cats, 43.3 inch Cat Tree Tower with Sturdy Steel Tube, Hammock, Cat Condo for Small Cats and Kittens, Scratching Post, Smoky Gray GCT004SG",Gitelsnour,Gitelsnour Home,35.99,$34-$35.99,4.0,916,1154,0.8795,41532.46,0.604,36-49in mid-small,$30-49,"condo,hammock,kitten"
30,Amazon US,B0DK19KNC2,"Globlazer Corner Cat Tree, 51in Curved Series Modern Cat Tower for Indoor Cats with Hammock, 7 Sisal Scratching Posts, Large Fan-Shaped Platform for Large Cats, Cat Condo & Hanging Basket, C51, Beige​",Globlazer,Globlazer,83.99,$82-$83.99,4.5,761,1109,0.8452,93144.91,1.3547,50-64in mainstream,$80-119,"large-cat,condo,hammock,modern"
