rank,asin,brand,title,amazon_url,image_url,detail_price_usd,detail_rating,detail_reviews,seller,dimensions,source
1,B0D2HMV3S6,FDW,"FDW 54 inch Cat Tree Tower, Dark Gray, multi-level indoor activity center","https://www.amazon.com/dp/B0D2HMV3S6","https://m.media-amazon.com/images/I/41GZdo6rzaL.jpg",38.99,4.1,6953,Amazon,"19 L x 19 W x 54 H in","Sorftime product_detail, captured 2026-06-24"
2,B07V4SGDDZ,Yaheetech,"Yaheetech 63in Large Cat Tree for Heavy Cats up to 22lbs","https://www.amazon.com/dp/B07V4SGDDZ","https://m.media-amazon.com/images/I/41P67vQqEDL.jpg",49.97,4.7,7844,Yaheetech,"30.5 L x 19 W x 63 H in","Sorftime product_detail, captured 2026-06-24"
3,B0B7RQTSB7,Heybly,"Heybly Cat Tree with Toy, condo, perch, hammock and sisal posts","https://www.amazon.com/dp/B0B7RQTSB7","https://m.media-amazon.com/images/I/71N99J8RxoL.jpg",35.98,4.2,11412,Heybly,"17.32 L x 12.6 W x 43.3 H in","Sorftime product_detail, captured 2026-06-24"
4,B0DGKR5MMP,Globlazer,"Globlazer Heavy Duty 70 inch Cat Tree for large indoor cats","https://www.amazon.com/dp/B0DGKR5MMP","https://m.media-amazon.com/images/I/41q5XA1Ax4L.jpg",89.99,4.7,1254,Globlazer,"21.65 L x 17.7 W x 70.08 H in","Sorftime product_detail, captured 2026-06-24"
5,B0G2XYGPWY,Sweetcrispy,"Sweetcrispy 44 Inch Cat Tree Tower with natural sisal posts, hammock and condo","https://www.amazon.com/dp/B0G2XYGPWY","https://m.media-amazon.com/images/I/41ybdtS0bgL.jpg",29.92,4.4,255,Amazon,"17.72 L x 13.78 W x 44.49 H in","Sorftime product_detail, captured 2026-06-24"
6,B0CNSWH1SQ,TWDEPART,"TWDEPART Cat Tree Tower with cat scratching post and playful toy balls","https://www.amazon.com/dp/B0CNSWH1SQ","https://m.media-amazon.com/images/I/81fqW24NzbL.jpg",19.75,4.4,3545,TIN&WEI,"16.93 L x 13 W x 17.7 H in","Sorftime product_detail, captured 2026-06-24"
7,B0794T79KM,Yaheetech,"Yaheetech 54in Cat Tree, multi-level tower with caves and perches","https://www.amazon.com/dp/B0794T79KM","https://m.media-amazon.com/images/I/41l3oRMO-+L.jpg",39.98,4.5,39950,Yaheetech,"19.5 L x 19.5 W x 54 H in","Sorftime product_detail, captured 2026-06-24"
8,B0GMX4ZVK1,Sweetcrispy,"Sweetcrispy 54 Inch Cat Tree Tower, multi-level indoor condo, pink","https://www.amazon.com/dp/B0GMX4ZVK1","https://m.media-amazon.com/images/I/41YDP0HmH0L.jpg",37.94,4.4,1118,Amazon,"20 L x 20 W x 54 H in","Sorftime product_detail, captured 2026-06-24"
9,B0BR561TK3,Feandrea,"Feandrea 59.5 inch plush multi-level cat tower with caves, hammock and perches","https://www.amazon.com/dp/B0BR561TK3","https://m.media-amazon.com/images/I/415J7xBSypL.jpg",47.69,4.4,12399,Amazon,"19.3 L x 15.7 W x 59.5 H in","Sorftime product_detail, captured 2026-06-24"
10,B0CNX5VJS4,AIWIKIDE,"AIWIKIDE 37.4 inch cactus cat tree tower with twin condos and hammock","https://www.amazon.com/dp/B0CNX5VJS4","https://m.media-amazon.com/images/I/81X3z6rK23L.jpg",34.84,4.3,17239,HAPPINESS2,"24.4 L x 12.2 W x 37.4 H in","Sorftime product_detail, captured 2026-06-24"
