capture_time_bjt,product_id,product_title,current_price_usd,cumulative_sold_display,rating_review_display,store,managed_type,field_status,source_scope
2026-08-11 14:50:00,601099761545702,"Curved Shower Curtain Rod - Adjustable 43-72 Inches, Rustproof Aluminum, Brush Nickel",14.60,816,4.7/820,"Topick Home Deco",半托管,完整卡片,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,606382556283214,"Curved Shower Curtain Rod 43-72 Inches Adjustable - Rustproof Round Shower Rod",14.60,335,4.8/56,"HomePicks Zone",半托管,完整卡片,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,601103084629123,"DYHOME Heavy Duty Curved Shower Rod - Adjustable Arc, Secure Drill Mount",20.22,2.6K+,4.6/163,DLLMG,半托管,完整卡片,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,605498514447584,"Curved Shower Curtain Rod 43-72 Inches, No Drill, Thickened 201 Stainless Steel",21.11,1.9K+,5.0/1,634418215343709,半托管,完整卡片,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,607501831499438,"Curved Shower Curtain Rod 40-72 Inches, 0.9mm, Rotate Bracket, Drilling Required",20.95,8.4K+,4.9/15,634418218742290,半托管,完整卡片,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,601100699228933,"1pc Curved Shower Curtain Rod, Screw Fixed Stainless Steel, Wall Mounted",21.43,7K+,4.8/5,634418211254281,全托管,完整卡片,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,601099550910306,"Adjustable Arched Curved Shower Curtain Rod 45-72 Inches, Need to Drill",36.85,8.1K+,3.9/15,MOFAAbox,全托管,完整卡片,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,602483061537923,"Single Curved Shower Rod, Aluminum, Adjustable 45-72 Inches",,,,,,当前链接；字段未完整加载,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,606443155621273,"Curved Shower Curtain Rod, Wall-Mounted, 58.5-61 Inches",,,,,,当前链接；字段未完整加载,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,603179659940004,"DYHOME Curved Shower Curtain Rod 35-76 Inches, Need to Drill",,,,,,当前链接；字段未完整加载,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,601103500351966,"YNL Curved Shower Curtain Rod 35-82 Inches, Need to Drill",,,,,,当前链接；字段未完整加载,"TEMU US logged-in Chrome search"
2026-08-11 14:50:00,601104094417379,"Curved Tension Shower Curtain Rod 50-72 Inches, No Drill",,,,,,当前链接；字段未完整加载,"TEMU US logged-in Chrome search"
